Brand,Model,Year,engine model,Engine,Max Power,Seats
Volkswagen,Golf R 4-Door w/DCC & Navigation,2018,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Forte GT-Line,2023,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,M8 Competition,2020,4.4 Liter Twin Turbo,,,
Lincoln,MKC Select,2019,2.0L I4 16V GDI DOHC Turbo,,,
BMW,i8 Base,2015,357.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,,,
Toyota,Highlander XLE,2021,3.5L V6 24V PDI DOHC,,,
Mazda,CX-30 Premium Package,2023,2.5L I4 16V,,,
Porsche,Cayenne Platinum Edition,2018,3.6L V6 24V GDI DOHC,,,
Lincoln,MKZ Reserve,2017,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model 3 Standard Range Plus,2021,271.0HP Electric Motor Electric Fuel System,,,
Porsche,718 Cayman S,2019,350.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Base,2005,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
Acura,RSX Type S,2002,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ferrari,Roma Base,2021,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman S,2007,295.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,,,
Rolls-Royce,Phantom Drophead Coupe Drophead,2013,6.8L V12 48V GDI DOHC,,,
Audi,SQ7 4.0T,2022,4.0L V8 32V GDI DOHC Twin Turbo,,,
Mercedes-Benz,AMG GLS 63 4MATIC,2022,603.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Honda,Ridgeline RTL-E,2021,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLK-Class 500 Cabriolet,2005,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,GX 470 Base,2004,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,NX 200t Base,2015,235.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Dodge,Dakota SLT Quad Cab,2007,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Maserati,Ghibli S Q4 GranSport,2020,3.0L V6 24V GDI DOHC Twin Turbo,,,
Land,Rover Discovery Sport SE R-Dynamic,2020,2.0 Liter,,,
Aston,Martin DBX Base,2021,4.0L V8 32V GDI DOHC Twin Turbo,,,
Audi,Q3 45 S line Premium,2022,2.0L I4 16V GDI DOHC Turbo,,,
Ford,Explorer XLT,2020,2.3L I4 16V GDI DOHC Turbo,,,
Mercedes-Benz,AMG GLC 63 Base 4MATIC,2018,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,BRZ Premium,2023,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
BMW,640 i,2016,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Kia,Stinger GT2,2020,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Bolt EUV Premier,2022,Electric,,,
Subaru,Forester 2.5 XT,2004,210.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Kia,Sportage X-Pro,2023,2.5L I4 16V PDI DOHC,,,
BMW,M4 Base,2016,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Equus Signature,2013,429.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG E 53 4MATIC,2020,"AMG 3L I-6 gasoline direct injection, DOHC, variable valve contr",,,
BMW,M550 i xDrive,2020,523.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Subaru,Impreza WRX STI,2014,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG G 63 Base,2019,4.0 Liter Twin Turbo,,,
Mazda,Mazda6 Grand Touring,2020,2.5L I4 16V GDI DOHC Turbo,,,
Hyundai,Veloster Base,2013,132.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Bentley,Bentayga S,2023,4.0L V8 32V GDI DOHC Twin Turbo,,,
Land,Rover Defender X-Dynamic SE,2023,3.0 Liter,,,
Kia,Telluride SX,2020,3.8L V6 24V GDI DOHC,,,
Maserati,GranTurismo Sport,2015,454.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,540 i xDrive,2020,2.0 Liter Turbo,,,
INFINITI,M56 Base,2011,420.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Stingray w/1LT,2023,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q5 S line Premium Plus,2023,2.0 Liter TFSI,,,
Lexus,GX 460 Base,2018,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X1 sDrive28i,2014,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Alfa,Romeo Stelvio Ti,2020,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Big Horn,2021,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M4 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Tesla,Model X Long Range,2022,670.0HP Electric Motor Electric Fuel System,,,
Volvo,S90 T5 Momentum,2018,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,Impreza WRX Sti,2005,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
BMW,X6 xDrive40i,2020,3.0 Liter Turbo,,,
Cadillac,CTS 2.0L Turbo Luxury,2014,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Discovery Sport HSE,2016,2.0L I4 16V GDI DOHC Turbo,,,
Genesis,G90 5.0 Ultimate,2017,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,CLK-Class CLK 350,2009,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Autobiography,2023,4.4 Liter,,,
Kia,Optima EX,2019,"1.6L I-4 gasoline direct injection, DOHC, variable valve control",,,
Toyota,Highlander SE,2018,3.5L V6 24V PDI DOHC,,,
Mercedes-Benz,Sprinter 4500 High Roof,2019,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
BMW,X1 xDrive28i,2020,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,R8 5.2,2015,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,,,
Audi,S3 2.0T Tech Premium Plus,2018,292.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,Tundra Hybrid TRD Pro,2022,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,,,
Audi,SQ5 3.0T Premium Plus,2022,3.0L V6 24V GDI DOHC Turbo,,,
Audi,A6 2.0T Premium Plus,2016,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lamborghini,Huracan EVO Base,2022,5.2L V10 40V GDI DOHC,,,
BMW,328 xi,2007,230.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Audi,SQ5 3.0T Prestige,2018,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade Sport Platinum,2021,3.0L I6 24V DDI DOHC Turbo Diesel,,,
BMW,M235 i,2014,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Kia,Telluride SX,2023,3.8L V6 24V GDI DOHC,,,
Chevrolet,Express 3500 Base,2008,323.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Acadia SLE,2020,2.5L I4 16V GDI DOHC,,,
BMW,X3 xDrive30i,2021,2.0 Liter Turbo,,,
Audi,TT 2.0T,2015,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Subaru,Outback 3.6R Touring,2017,256.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,,,
Mitsubishi,Eclipse Spyder GS,2001,140.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Santa Fe SEL,2022,2.5L I4 16V PDI DOHC,,,
BMW,M5 Base,2018,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 1500 ST,2011,390.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Fusion Energi Titanium,2015,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Toyota,Tundra Hybrid TRD Pro,2022,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,,,
Land,Rover Range Rover Evoque Pure,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Lincoln,Navigator Base,2009,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,,,
Ford,Mustang Mach-E Select,2023,Standard Range Battery,,,
Mercedes-Benz,Sprinter 3500 High Roof,2017,188.0HP 3.0L V6 Cylinder Engine Diesel Fuel,,,
Mercedes-Benz,AMG E 63 S 4MATIC,2019,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,440 i xDrive,2018,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Acura,Integra LS,1998,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Audi,Q7 55 Prestige,2019,3.0L V6 24V GDI DOHC Supercharged,,,
BMW,M6 Base,2014,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Arteon 2.0T SE,2021,2.0 Liter TSI,,,
Lexus,LX 600 F SPORT,2023,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,,,
INFINITI,Q40 Base,2015,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,Z4 3.0i Roadster,2006,215.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
BMW,M6 Base,2015,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,X3 M40i,2019,3.0 Liter Turbo,,,
Kia,Sorento LX,2014,2.4L I4 16V GDI DOHC,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
BMW,Z4 sDrive28i,2015,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,CTS-V Base,2017,640.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Transit Connect XL,2020,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,IS 250 Base,2010,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X7 xDrive40i,2023,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Volvo,XC90 T6 Momentum,2018,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Hyundai,Tucson Limited,2008,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Durango GT,2021,3.6L V6 24V MPFI DOHC,,,
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
GMC,Yukon XL SLT,2019,5.3L V8 16V GDI OHV,,,
Audi,RS Q8 4.0T,2020,591.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Toyota,RAV4 Hybrid XLE,2019,219.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,,,
Alfa,Romeo Stelvio Quadrifoglio,2019,505.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Evoque SE,2020,2.0 Liter,,,
Alfa,Romeo Stelvio Ti Sport,2020,2.0L I4 16V GDI SOHC Turbo,,,
Cadillac,Escalade EXT Base,2007,403.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 Lariat,2019,6.2L V8 16V MPFI SOHC Flexible Fuel,,,
Nissan,350Z Enthusiast,2005,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Subaru,Legacy 2.5 i Premium,2010,170.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Honda,Civic LX,2003,115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel,,,
McLaren,570S Spider,2020,562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel,,,
Maserati,Ghibli S Q4,2016,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Jeep,Wagoneer Series II 4x4,2022,"HEMI 5.7L V-8 variable valve control, regular unleaded, engine w",,,
Maserati,Ghibli S Q4,2017,404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lexus,RX 300 Base,2002,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Lincoln,Aviator Luxury,2005,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Transit Connect XL,2018,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,,,
Cadillac,SRX Luxury Collection,2016,3.6 Liter SIDI DOHC,,,
Lincoln,MKS EcoBoost,2016,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Yaris Base,2010,106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG E 63 S 4MATIC,2019,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,GLS 450 Base,2022,3.0 Liter DOHC Twin Turbo,,,
Mercedes-Benz,G-Class G 550 4MATIC,2019,416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Hyundai,Veloster Turbo R-Spec,2014,201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,,,
Toyota,4Runner Limited,2019,4.0L V6 24V MPFI DOHC,,,
Mercedes-Benz,S-Class S 580 4MATIC,2021,496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Audi,RS 7 4.0T Performance Prestige,2017,4.0L V8 32V GDI DOHC Twin Turbo,,,
Mazda,MX-5 Miata Base,1999,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG C 43 Base,2017,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Corvette Z06,2007,505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,F-250 King Ranch,2021,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,,,
Volkswagen,Tiguan 2.0T SE,2022,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,750 Li xDrive,2012,407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M3 CS,2024,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Lexus,GX 460 Base,2018,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,,,
Audi,Q7 3.0T Premium,2017,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Alfa,Romeo Stelvio Ti Sport,2018,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Defender X,2023,3.0 Liter,,,
BMW,750 i xDrive,2019,4.4 Liter DOHC Twin Turbo,,,
BMW,M3 Base,2015,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Rolls-Royce,Ghost Base,2021,563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel,,,
Audi,e-tron Prestige,2019,355.0HP Electric Motor Electric Fuel System,,,
Lexus,IS 250 Base,2011,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Evoque SE Premium,2016,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ferrari,California T,2015,553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,LC 500 Base,2018,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Kia,EV6 Wind,2022,111.2Ah / FR 70kW / RR 160kW (697V),,,
GMC,Sierra 1500 SLE Crew Cab,2005,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,,,
Lexus,ES 350 Base,2008,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Nissan,370Z NISMO,2010,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Ram 1500 Laramie,2004,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Limited,2016,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX70 Base,2015,325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
BMW,X5 M Base,2023,4.4L V8 32V GDI DOHC Twin Turbo,,,
Lincoln,Navigator Select,2016,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Volvo,V60 Cross Country T5,2020,250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Audi,A7 3.0T Premium Plus,2018,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Ford,Bronco Sport Outer Banks,2021,1.5L I3 12V PDI DOHC Turbo,,,
Volkswagen,Eurovan MV,2001,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-TYPE R,2017,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Evoque R-Dynamic HSE,2020,2.0 Liter,,,
RAM,1500 Laramie,2021,5.7L V8 16V MPFI OHV,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
BMW,M760 i xDrive,2021,"6.6L V-12 gasoline direct injection, DOHC, variable valve contro",,,
Lexus,LX 570 Three-Row,2018,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Velar P250 SE R-Dynamic,2019,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Acura,MDX w/Technology Package,2023,3.5 Liter SOHC,,,
Lexus,LC 500 Base,2018,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Audi,SQ5 3.0T Prestige,2019,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Velar P250 SE R-Dynamic,2018,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Limited,2020,5.7L V8 16V MPFI OHV,,,
Audi,S4 3.0T Premium,2019,3.0L V6 24V GDI DOHC Turbo,,,
Audi,A8 4.0,2020,4.0 Liter Turbo,,,
Cadillac,Escalade ESV Sport,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG GT AMG GT S,2016,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
BMW,M3 Base,2009,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Honda,Accord EX-L,2009,190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,,,
Rolls-Royce,Cullinan,2022,6.7L V12 48V GDI DOHC Twin Turbo,,,
Cadillac,Escalade Premium,2015,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Acura,RDX Technology Package,2020,2.0L I4 16V GDI DOHC Turbo,,,
BMW,X2 xDrive28i,2022,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Buick,Verano Convenience,2013,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,,,
Mercedes-Benz,AMG S 63 Base 4MATIC,2020,4.0L V8 32V GDI DOHC Twin Turbo,,,
RAM,2500 Tradesman,2021,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,Metris Base,2018,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Evoque S,2020,2.0 Liter,,,
Volvo,XC90 T6 Inscription,2020,316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition King Ranch,2020,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Highlander Hybrid Limited,2006,208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid,,,
Toyota,Tundra SR5 Access Cab,2005,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Transit-350 Base,2023,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Express 3500 LT,2016,260.0HP 6.6L 8 Cylinder Engine Diesel Fuel,,,
Chevrolet,Bolt EUV Premier,2022,200.0HP Electric Motor Electric Fuel System,,,
Jeep,Wrangler Unlimited 4xe Sahara,2021,2.0L I4 16V GDI DOHC Turbo Hybrid,,,
BMW,X7 xDrive40i,2023,375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,,,
Mercedes-Benz,AMG GT 53 Base,2021,3.0L I6 24V GDI DOHC Turbo,,,
Toyota,Tundra Limited,2020,5.7L V8 32V MPFI DOHC,,,
BMW,X1 xDrive28i,2021,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,135 i,2008,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
Mazda,Mazda3 Touring,2018,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
Audi,A7 3.0T Premium Plus,2018,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Saturn,Sky Red Line,2008,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
BMW,Z4 2.5i Roadster,2005,184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,,,
Volvo,XC90 Hybrid T8 Inscription,2020,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Acura,TLX A-Spec,2021,2.0L I4 16V GDI DOHC Turbo,,,
Acura,MDX w/Technology Package,2022,3.5L 24V SOHC I-VTEC V6,,,
Chevrolet,Tahoe High Country,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2021,425.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,GLK-Class GLK 350,2013,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Chevrolet,Traverse LS,2022,3.6L V6 24V GDI DOHC,,,
BMW,550 Gran Turismo i,2013,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2007,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,,,
BMW,430 i xDrive,2021,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Porsche,Cayman Base,2007,245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,,,
Ford,Expedition Max King Ranch,2021,3.5L V6 24V PDI DOHC Twin Turbo,,,
Rivian,R1S Adventure Package,2023,835.0HP Electric Motor Electric Fuel System,,,
Mercedes-Benz,GLC 300 GLC 300,2021,2.0 Liter Turbo,,,
Ford,Mustang Shelby GT500,2012,550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,,,
Tesla,Model Y Long Range,2021,425.0HP Electric Motor Electric Fuel System,,,
Nissan,370Z Base,2009,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,,,
Toyota,Sequoia Platinum,2014,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Nissan,NV Passenger NV3500 HD SL V8,2020,375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Transit Connect XL w/Rear Symmetrical Doors,2022,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,,,
INFINITI,QX80 Base,2014,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,,,
Aston,Martin V8 Vantage Base,2008,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,,,
Porsche,911 Carrera S,2017,3.0 Liter,,,
Lotus,Evora 400 Base,2017,400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Velar P250 S R-Dynamic,2020,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Nissan,Xterra S,2007,261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,,,
Dodge,Charger R/T,2012,370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,,,
Buick,Encore GX Essence,2022,1.3L I3 12V GDI DOHC Turbo,,,
Nissan,Leaf S,2018,147.0HP Electric Motor Electric Fuel System,,,
Nissan,Leaf SL,2012,107.0HP Electric Motor Electric Fuel System,,,
Jeep,Grand Wagoneer Series III,2022,6.4 Liter,,,
Nissan,Z Proto Spec,2023,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
Land,Rover Range Rover Sport HSE,2013,"5L V-8 gasoline direct injection, DOHC, variable valve control,",,,
Porsche,Boxster S,2003,3.2L H6 24V MPFI DOHC,,,
Bentley,Continental GT Base,2004,550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,,,
Jaguar,F-TYPE R,2018,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,,,
Cadillac,Escalade ESV Sport,2021,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,TT 2.0T,2018,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Jeep,Wrangler Unlimited Sahara,2020,2.0L I4 16V GDI DOHC Turbo,,,
Audi,S6 4.0T,2016,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
GMC,Sierra 2500 SLE,2015,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,,,
Tesla,Model 3 Long Range,2022,Dual Motor - Standard,,,
Mazda,CX-90 Premium,2024,2.5L,,,
Ford,C-Max Energi SE,2017,188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Cadillac,Escalade ESV Platinum,2018,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,,,
Audi,TT 3.2 Cabriolet quattro,2008,250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,,,
Hyundai,Santa Fe SE,2021,2.5L I4 16V PDI DOHC,,,
Mercedes-Benz,AMG GLE AMG GLE 63 S-Model 4MATIC,2016,577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,SL-Class SL 550,2015,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,,,
Acura,MDX 3.5L Technology Package,2014,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,,,
RAM,2500 Laramie,2019,6.7L I6 24V DDI OHV Turbo Diesel,,,
Audi,A7 Premium,2012,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,,,
BMW,M2 Base,2023,453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,,,
RAM,1500 Laramie,2019,5.7L V8 16V MPFI OHV,,,
Audi,Q5 2.0T Premium Plus,2013,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,,,
Cadillac,XTS Luxury,2019,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,,,
Volkswagen,Jetta 1.4T SE,2016,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,,,
Ford,Focus RS Base,2016,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,,,
Mercedes-Benz,AMG C 63 S,2017,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,,,
Ford,Bronco Sport Big Bend,2021,1.5L I3 12V PDI DOHC Turbo,,,
Jeep,Gladiator Overland,2021,3.6L V6 24V MPFI DOHC,,,
BMW,330e iPerformance,2017,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,,,
Mercedes-Benz,GLC 300 Base 4MATIC,2018,2.0L I4 16V GDI DOHC Turbo,,,
